5419500,3575300,2373400,87615,56097,35460,328.59,205.8,137.17,1.88E-10
1595100,1041400,676480,23397,15096,9665.3,118.93,86.636,67.179,6.36E-10
2970400,1918600,1260200,41927,26732,16998,170.14,111.7,80.396,3.41E-10
1824600,1215600,804260,28851,18602,11932,129.81,87.571,62.975,5.66E-10
4371300,2834800,1905100,69786,44341,27945,261.09,164.4,110.89,2.32E-10
1082400,730970,496980,22263,14681,9613.4,124.07,88.715,67.613,9.71E-10
1961200,1273700,842710,29204,18750,11984,133.8,93.127,69.28,5.20E-10
1391700,906090,590670,20702,13407,8635.9,114.8,85.555,67.28,7.29E-10
5135600,3401000,2237300,80502,51193,32588,302.43,189.93,127.66,1.98E-10
2051800,1347900,885180,31218,20161,12939,150.26,104.5,80.098,4.96E-10
1569700,1019800,658550,21981,14163,9062,108.34,76.065,58.738,6.46E-10
1727200,1129700,739640,26294,17018,10922,130.6,92.632,70.039,5.88E-10
4624500,3004500,1970200,66147,41361,25914,240.58,152.01,103.5,2.19E-10
5157300,3432200,2242300,80372,50808,32126,301.15,189.95,127.97,1.97E-10
2015600,1301200,853930,28854,18569,11888,132.65,91.306,67.197,5.03E-10
3516800,2270300,1499600,50185,31976,20226,200.89,131.72,94.374,2.88E-10
2814700,1823900,1196400,40069,25527,16270,171.46,115.45,85.361,3.60E-10
1638300,1067400,693910,23704,15298,9834.4,117.49,84.27,64.77,6.19E-10
1820700,1176300,767020,26092,16837,10788,127.8,90.381,68.455,5.56E-10
5204000,3443700,2261700,80839,51129,32176,300.2,188.97,127.25,1.95E-10
1400100,917070,600930,21270,13728,8809.8,106.21,75.804,59.647,7.30E-10
1643000,1117900,741750,27721,17933,11496,126.39,86.007,62.437,6.55E-10
5634200,3741400,2483000,93056,59180,37529,350.81,220.69,148.4,1.81E-10
1091600,759370,532980,21666,13999,9013.6,106.42,74.348,57.301,9.90E-10
1592400,1041000,673930,22909,14884,9559.8,117.3,84.408,65.043,6.37E-10
1516300,981860,638430,21396,13752,8803.2,99.816,69.255,53.287,6.69E-10
2096100,1365600,895480,31619,20306,13025,147.22,101.49,74.596,4.85E-10
1761700,1164000,768720,28756,18531,11891,134.95,93.46,69.034,5.85E-10
1992900,1294600,857610,30107,19379,12426,139.28,96.083,70.691,5.11E-10
1694400,1103900,711940,24769,15961,10223,116.1,80.579,59.959,6.00E-10
1678300,1086500,702950,24733,15949,10209,118.2,82.994,62.505,6.05E-10
1958600,1284700,837000,29091,18712,11976,140.56,99.475,74.821,5.18E-10
5494200,3549800,2395800,87245,55578,35087,323.56,202.59,135.05,1.85E-10
2067200,1348600,884320,29704,19036,12161,125.33,82.285,57.13,4.92E-10
1821500,1180000,768790,26657,17101,10994,124.61,87.095,65.171,5.57E-10
1571500,1035800,673530,23693,15274,9795.9,111.22,75.519,56.448,6.50E-10
4098400,2624300,1740400,57529,36418,22974,213.58,135.49,92.653,2.47E-10
1984200,1379600,942420,35709,23004,14722,160.37,107.81,77.098,5.39E-10
5121000,3313100,2221500,78957,50009,31723,291.02,182.66,122.58,1.98E-10
5057000,3349200,2198300,77511,49740,31281,290.18,182.79,123.49,2.01E-10
5169200,3359200,2244700,80065,51018,32159,296.17,185.88,124.55,1.96E-10
2081100,1363800,894140,31198,20000,12807,143.75,99.527,73.404,4.91E-10
1507900,971370,623540,21163,13660,8718.7,105.73,75.238,59.077,6.71E-10
1930800,1311600,878910,31248,20108,12837,143.77,99.995,74.116,5.36E-10
1816200,1176400,770950,26351,16994,10861,126.55,89.827,67.863,5.59E-10
1843800,1197800,773110,26343,16938,10848,127.16,90.492,68.736,5.49E-10
5247700,3384600,2274000,81575,52174,32524,303.29,189.99,126.86,1.94E-10
5667700,3770700,2470800,91429,58633,37095,342.41,214.09,142.59,1.79E-10
1828200,1190000,770400,26036,16734,10674,118,81.247,59.803,5.54E-10
5869900,3826300,2547800,92831,58965,37040,340.07,212.01,140.19,1.73E-10
2025200,1306800,858040,28971,18592,11871,133.77,93.755,70.213,5.00E-10
3051700,1986700,1287300,42531,27087,17176,173.79,115.67,84.384,3.31E-10
1345000,916600,622240,24086,15610,10054,126.56,92.34,71.418,7.68E-10
5169900,3433600,2253000,81937,52012,32911,305.44,192.72,130.07,1.96E-10
1636900,1082600,714700,25339,16365,10508,122.91,88.018,65.822,6.29E-10
1461400,958390,626270,21940,14145,9102.7,118.94,88.801,70.292,6.96E-10
2003000,1297700,852350,29373,18852,12058,134.79,93.914,69.982,5.07E-10
2128400,1393200,915250,32149,20651,13215,150.37,104.95,80.439,4.79E-10
512860,422910,331890,20347,13345,8677.2,110.64,78.385,60.915,3.23E-09
2122700,1405200,922980,31890,20535,13089,136.66,91.072,64.358,4.81E-10
1977500,1295900,845350,29202,18851,12079,142.45,100.62,75.693,5.13E-10
1990400,1310700,862020,30815,19900,12761,148.37,103.93,80.456,5.12E-10
1231300,820680,546180,20969,13608,8788.9,113.44,82.926,64.513,8.36E-10
5603600,3624500,2455700,91204,58760,37106,346.9,217.97,146.28,1.81E-10
5476100,3611200,2362800,83503,53513,33840,312.87,196.19,131.05,1.85E-10
2315200,1509100,988010,33680,21588,13762,148.52,101.5,73.834,4.38E-10
2514600,1617600,1060500,35706,22814,14508,155.25,105.58,76.201,4.03E-10
2028700,1318200,868260,30059,19266,12312,136.41,94.145,69.429,5.00E-10
